Rank,Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d
1,venezia - milan,63.258620689655174,23.53361344537815,1.2573964497041419
2,barcellona - real madrid,73.72413793103448,46.15126050420168,3.6508875739644973
3,como - genoa,70.93103448275862,22.06512605042017,1.3579881656804733
4,monreale,32.39655172413793,25.128151260504204,5.866863905325443
5,jair,15.482758620689655,11.357142857142858,4.384615384615385
6,bayern monaco - mainz,0.0,0.5021008403361344,1.6420118343195267
7,barcelona - real madrid,6.379310344827586,4.42436974789916,2.42603550295858
8,alberto franceschini,1.0775862068965516,0.4411764705882353,4.014792899408284
9,retegui,2.043103448275862,26.121848739495796,2.878698224852071
10,inter roma dove vederla,4.370689655172414,3.38655462184874,1.6183431952662721
11,flavio cobolli,21.68103448275862,11.722689075630251,3.878698224852071
12,eliminato amici 26 aprile,2.9310344827586206,0.615546218487395,1.136094674556213
13,liliana segre,2.6724137931034484,5.411764705882353,3.9201183431952664
14,arnaldi,4.422413793103448,3.5504201680672267,4.798816568047338
15,vancouver,11.75,3.485294117647059,5.372781065088757
16,mi vs lsg,11.646551724137932,2.670168067226891,0.7810650887573964
17,maratona londra 2025,26.844827586206897,0.49789915966386555,0.8431952662721893
18,orari motogp,32.43103448275862,12.970588235294118,5.559171597633137
19,cristina comencini,0.0,0.957983193277311,0.6479289940828402
20,gabriella carlucci,0.0,0.025210084033613446,0.7278106508875739
21,aryna sabalenka,8.732758620689655,9.71218487394958,5.579881656804734
22,wrexham,1.646551724137931,0.8235294117647058,1.3875739644970415
23,london marathon 2025,5.732758620689655,2.004201680672269,1.5710059171597632
24,liegi bastogne liegi 2025 dove vederla,0.0,0.5147058823529411,0.6390532544378699
25,giuseppe salvatore riina,0.05172413793103448,0.5945378151260504,1.1420118343195267
26,juve monza,0.7586206896551724,1.615546218487395,3.393491124260355
27,warriors - rockets,0.9310344827586208,0.47058823529411764,3.106508875739645
28,cardinale parolin papa,13.508620689655173,0.9684873949579832,9.606508875739646
29,val trebbia,4.5,1.2163865546218489,0.57396449704142
30,motogp oggi,37.258620689655174,18.235294117647058,4.754437869822485
31,rudiger,2.431034482758621,1.7731092436974791,2.150887573964497
32,sakkari,22.163793103448278,3.6953781512605044,0.4230769230769231
33,yamal,6.655172413793103,4.216386554621849,6.77810650887574
34,trento - dinamo sassari,1.3017241379310345,0.7731092436974789,0.30177514792899407
35,amal clooney,0.0,0.16596638655462187,1.6420118343195267
36,como vs genoa,0.8275862068965516,0.6302521008403361,0.4319526627218935
37,nicolussi caviglia,6.2844827586206895,2.008403361344538,0.606508875739645
38,donald trump zelensky,1.6982758620689655,0.19747899159663865,0.21005917159763315
39,giro d'italia 2025,3.1982758620689653,0.9516806722689075,17.446745562130175
40,maratona padova 2025,0.6206896551724138,0.2647058823529412,4.159763313609467
41,moto 2,4.939655172413794,1.699579831932773,8.78698224852071
42,fiorentina empoli,0.4655172413793104,0.657563025210084,1.1538461538461537
43,moto 3,0.0,0.7626050420168067,4.615384615384615
44,becciu cardinale cosa ha fatto,3.4913793103448274,1.1008403361344539,0.7514792899408285
45,lucia annunziata,0.0,0.22058823529411764,0.2869822485207101
46,namibia,4.068965517241379,0.9558823529411764,0.8136094674556213
47,referendum giugno 2025,3.6982758620689657,1.3802521008403361,8.026627218934912
48,carrara,28.758620689655174,6.1722689075630255,21.180473372781062
49,napoli - sampdoria,0.0,0.24369747899159663,0.2899408284023669
50,christian pulisic,0.0,0.15756302521008403,0.1893491124260355
