Entita,Saturation_Score
betis - fiorentina,480.0
atletico bilbao - manchester united,1.0
tottenham - bodø/glimt,6.0
sampdoria - cremonese,96.0
elodie,271.0
pisa - frosinone,72.0
djurgården - chelsea,2.0
cittadella - brescia,104.0
sassuolo - carrarese,35.0
patagarri,247.0
cosenza - bari,121.0
juve stabia - catanzaro,104.0
tyra grant,50.0
nottingham forest - brentford,40.0
modena reggiana,71.0
buon venerdi 2 maggio,-1.0
lido delle monache,10.0
junio valerio borghese,7.0
scelte stupide fedez clara testo,-1.0
mike waltz,152.0
pistons - knicks,-1.0
serie b,836.0
internazionali di roma,10.0
clippers - nuggets,4.0
ligabue,8.0
pioli,48.0
fit,249.0
sciopero treni 6 maggio 2025,1.0
lino leggio,10.0
michele riondino,3.0
mantova - cesena,116.0
mps azioni,-1.0
ghali,83.0
vincenzo schettini,46.0
stellantis azioni,-1.0
guerra ucraina russia trump,3.0
intesa azioni,-1.0
buongiorno,954.0
serena brancale,9.0
arnaldi,157.0
daniil medvedev,3.0
a2a,6.0
palermo sudtirol,145.0
isco,7.0
spezia salernitana,75.0
luana d'orazio,63.0
kelly piquet,2.0
daniel day lewis,-1.0
checco zalone,5.0
mission impossible rogue nation,6.0
