Entita,Score_now 7-d_Run1
pier silvio berlusconi,0.8520710059171598
cindyana santangelo,1.21301775147929
george clooney,3.4911242603550297
berrettini fritz,3.526627218934911
sara scaperrotta,0.42011834319526625
matt damon,0.7692307692307693
sabalenka,5.970414201183432
avengers doomsday cast,1.2366863905325445
kristi noem,0.8224852071005917
rebecca romijn,2.42603550295858
le assaggiatrici film,4.579881656804734
nintendo direct,2.1124260355029585
spinea,4.497041420118343
pacers - lakers,3.6449704142011834
ascolti tv dati auditel,0.20710059171597633
macron,4.585798816568047
carlo cracco,2.2958579881656807
shiffrin,1.029585798816568
egitto sottomarino turistico affondato,1.1538461538461537
sciopero 28 marzo 2025,4.029585798816568
ginnastica ritmica emanuela maccarani,0.25443786982248523
lol 5 cast,0.2958579881656805
amsterdam,26.047337278106507
mare fuori sesta stagione,0.16568047337278108
conferenza stampa tudor,1.0118343195266273
fantozzi,17.810650887573964
evelina sgarbi,1.2544378698224852
la gintoneria di davide,0.42011834319526625
kit sopravvivenza guerra europa,6.242603550295858
diego de vivo,1.0118343195266273
chef rubio,0.14792899408284024
sciopero treni,9.467455621301776
srh vs lsg,0.8047337278106509
don samuele marelli,0.7337278106508875
anticipazioni amici,9.893491124260356
jakub menšík,1.5798816568047338
blue bloods,0.7396449704142012
finale grande fratello,2.9171597633136095
supertennis,3.2840236686390534
pnrr,29.875739644970412
lol 2025,1.834319526627219
sigfrido ranucci,0.22485207100591717
stellantis,23.71005917159763
minority report,0.28402366863905326
cinese,40.89349112426036
avanti un altro by night,0.44970414201183434
franco alfieri,0.46745562130177515
tonali milan,0.1301775147928994
oliver kragl,7.094674556213017
pio esposito,7.562130177514793
