Rank,Entita,Entita_Originale,Entita_Principale,Confidenza_Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Discover_Score
4,cambio ora 2025,cambio ora 2025,cambio ora 2025,0.0,20.017241379310345,47.99369747899159,15.050295857988164,39.79277040896853
2,probabili formazioni,probabili formazioni,probabili formazioni,0.0,26.991379310344826,29.008403361344538,7.479289940828403,34.12276895939397
40,allerta vento,allerta vento,allerta vento,0.0,38.474137931034484,30.26890756302521,10.689349112426035,11.298624591574988
50,fortnite,fortnite,fortnite,0.0,28.28448275862069,18.05252100840336,19.437869822485204,9.789445012651521
46,viterbo,viterbo,viterbo,0.0,27.224137931034484,9.680672268907564,21.745562130177515,8.422075658783273
7,scossa terremoto myanmar,scossa terremoto myanmar,scossa terremoto myanmar,0.0,0.9568965517241379,10.436974789915967,4.547337278106509,7.456310644576422
29,ghibli,ghibli,ghibli,0.0,51.44827586206897,5.042016806722689,14.57396449704142,6.061389266884928
3,andrea pucci,andrea pucci,andrea pucci,0.0,2.0775862068965516,6.132352941176471,3.0384615384615388,5.797642036888575
5,assalto portavalori,assalto portavalori,assalto portavalori,0.0,13.517241379310345,4.598739495798319,4.615384615384616,5.548638140871036
1,venezia - bologna,venezia - bologna,venezia - bologna,0.0,23.758620689655174,5.955882352941176,1.301775147928994,5.436833155171608
11,juve genoa,juve genoa,juve genoa,0.0,4.629310344827586,5.048319327731092,7.011834319526627,5.255792465432029
8,eprice,eprice,eprice,0.0,7.422413793103448,1.4071323089905419,6.6301775147929,4.11305695239388
24,lecce roma,lecce roma,lecce roma,0.0,4.603448275862069,1.8340336134453783,9.532544378698224,3.8418934637374407
28,le assaggiatrici (film),le assaggiatrici (film),le assaggiatrici (film),0.0,0.41379310344827586,0.569327731092437,8.041420118343195,2.8541441960192246
47,jd,jd,jd,0.0,0.5086206896551724,1.6680672268907564,8.233727810650887,2.816127348288976
9,gil vicente - benfica,gil vicente - benfica,gil vicente - benfica,0.0,0.0,0.226890756302521,4.920118343195266,2.669612132120966
27,the voice senior,the voice senior,the voice senior,0.0,7.956896551724138,1.3529411764705883,5.949704142011835,2.491637380937906
6,spezia - brescia,spezia - brescia,spezia - brescia,0.0,1.1379310344827587,0.7563025210084033,3.6863905325443787,2.4867867396781573
37,will smith,will smith,will smith,0.0,3.189655172413793,0.9349266903414086,6.8609467455621305,2.4180522603937864
12,probabili formazioni serie a,probabili formazioni serie a,probabili formazioni serie a,0.0,6.6465517241379315,1.6071428571428572,3.514792899408284,2.134706488819746
22,pilar fogliati,pilar fogliati,pilar fogliati,0.0,8.39655172413793,3.5441176470588234,3.002958579881657,2.0987755551970344
18,fulham - crystal palace,fulham - crystal palace,fulham - crystal palace,0.0,13.21551724137931,6.472689075630253,0.7781065088757396,1.778377846353489
19,cittadinanza italiana ius sanguinis,cittadinanza italiana ius sanguinis,cittadinanza italiana ius sanguinis,0.0,0.0,0.03571428571428571,4.242603550295858,1.6863094060244317
13,sampdoria - frosinone,sampdoria - frosinone,sampdoria - frosinone,0.0,21.629310344827587,5.237394957983193,0.8402366863905326,1.6651791571044572
15,leverkusen - bochum,leverkusen - bochum,leverkusen - bochum,0.0,0.3879310344827586,0.3382352941176471,3.606508875739645,1.6182376097357447
20,como empoli,como empoli,como empoli,0.0,20.379310344827587,5.054621848739496,0.8017751479289941,1.4533847082155316
21,sciopero treni aprile 2025,sciopero treni aprile 2025,sciopero treni aprile 2025,0.0,0.7155172413793104,1.6512605042016806,2.378698224852071,1.3343625917738304
14,richard jewell,richard jewell,richard jewell,0.0,9.655172413793103,2.7142857142857144,1.106508875739645,1.1821893218695254
10,29 marzo eclissi solare,29 marzo eclissi solare,29 marzo eclissi solare,0.0,7.370689655172415,1.5819327731092439,1.3875739644970415,1.1200026953141518
34,inter udinese,inter udinese,inter udinese,0.0,4.413793103448276,0.7289915966386555,2.7781065088757395,1.1005124089504708
25,modena - catanzaro,modena - catanzaro,modena - catanzaro,0.0,12.637931034482758,3.878151260504202,0.4260355029585799,0.9688189724793891
30,sbk orari,sbk orari,sbk orari,0.0,0.20689655172413793,0.7542016806722689,1.8994082840236688,0.8435900670480639
16,cosenza - pisa,cosenza - pisa,cosenza - pisa,0.0,17.879310344827587,2.3256302521008405,0.5059171597633136,0.7834539520196944
23,federico faggin,federico faggin,federico faggin,0.0,0.0,0.5588235294117647,1.162721893491124,0.6017679527519694
26,probabili formazioni sky,probabili formazioni sky,probabili formazioni sky,0.0,1.1379310344827585,0.6491596638655462,1.13905325443787,0.5979859560601716
17,real sociedad - valladolid,real sociedad - valladolid,real sociedad - valladolid,0.0,13.448275862068966,1.495798319327731,0.37869822485207105,0.5543921126116248
41,wind warning,wind warning,wind warning,0.0,0.75,0.9474789915966386,0.863905325443787,0.5240756149918624
31,armando izzo,armando izzo,armando izzo,0.0,2.6982758620689653,0.75,0.8402366863905325,0.5067868896652071
36,cannavaro,cannavaro,cannavaro,0.0,2.5,0.8928571428571429,0.34023668639053256,0.37120218279564277
32,intelligenza artificiale su whatsapp,intelligenza artificiale su whatsapp,intelligenza artificiale su whatsapp,0.0,3.0086206896551726,0.8718487394957983,0.29585798816568043,0.361023036633744
39,mensik tennis,mensik tennis,mensik tennis,0.0,1.1637931034482758,0.07541928905453395,0.7662721893491125,0.3397335304498297
44,castello sforzesco,castello sforzesco,castello sforzesco,0.0,0.7844827586206897,0.20168067226890757,0.6923076923076923,0.33640834211557596
43,scisciano,scisciano,scisciano,0.0,5.767241379310345,1.2051527724060336,0.07100591715976332,0.31890183008134676
45,probabili formazioni gazzetta,probabili formazioni gazzetta,probabili formazioni gazzetta,0.0,0.8189655172413793,0.36344537815126055,0.45857988165680474,0.3036234332100465
48,diego armando maradona,diego armando maradona,diego armando maradona,0.0,0.0,0.12815126050420167,0.46449704142011833,0.26303859756673437
38,ciclismo oggi in tv,ciclismo oggi in tv,ciclismo oggi in tv,0.0,0.14655172413793105,0.03991596638655462,0.4704142011834319,0.25989029484691856
33,fabio cannavaro,fabio cannavaro,fabio cannavaro,0.0,2.163793103448276,0.42016806722689076,0.1804733727810651,0.25092670087798946
42,fabio balaso,fabio balaso,fabio balaso,0.0,0.09482758620689655,0.11554621848739496,0.3165680473372781,0.23006610508417089
35,joao felix,joao felix,joao felix,0.0,0.0,0.15546218487394958,0.07988165680473372,0.1795226667214329
49,venezia vs bologna,venezia vs bologna,venezia vs bologna,0.0,1.379310344827586,0.09873949579831932,0.11834319526627218,0.1732789121029568
51,kit sopravvivenza 72 ore,kit sopravvivenza 72 ore,kit sopravvivenza 72 ore,0.0,0.0,0.0,0.0,0.12748206434910195
52,azione,azione,azione,0.0,0.0,0.0,0.0,0.12716738907202113
53,babygirl,babygirl,babygirl,0.0,0.0,0.0,0.0,0.12686021143920512
54,fiorentina atalanta,fiorentina atalanta,fiorentina atalanta,0.0,0.0,0.0,0.0,0.12656021288744118
55,perugia - pineto,perugia - pineto,perugia - pineto,0.0,0.0,0.0,0.0,0.12626709406233544
56,eid ul fitr 2025,eid ul fitr 2025,eid ul fitr 2025,0.0,0.0,0.0,0.0,0.12598057333163432
57,pelicans - warriors,pelicans - warriors,pelicans - warriors,0.0,0.0,0.0,0.0,0.1257003854380681
58,ancelotti real madrid,ancelotti real madrid,ancelotti real madrid,0.0,0.0,0.0,0.0,0.12542628027641056
59,botoșani - farul costanza,botoșani - farul costanza,botoșani - farul costanza,0.0,0.0,0.0,0.0,0.12515802178136212
60,inps cedolino pensione,inps cedolino pensione,inps cedolino pensione,0.0,0.0,0.0,0.0,0.12489538691450888
61,sassuolo reggiana,sassuolo reggiana,sassuolo reggiana,0.0,0.0,0.0,0.0,0.12463816474003105
62,meteo milano,meteo milano,meteo milano,0.0,0.0,0.0,0.0,0.12438615558006041
63,alba berlino - virtus bologna,alba berlino - virtus bologna,alba berlino - virtus bologna,0.0,0.0,0.0,0.0,0.12413917024165175
64,miami open 2025 tabellone,miami open 2025 tabellone,miami open 2025 tabellone,0.0,0.0,0.0,0.0,0.12389702930825783
65,eid al fitr 2025 italia,eid al fitr 2025 italia,eid al fitr 2025 italia,0.0,0.0,0.0,0.0,0.1236595624894035
66,new zealand vs pakistan,new zealand vs pakistan,new zealand vs pakistan,0.0,0.0,0.0,0.0,0.12342660802295771
67,orari motogp,orari motogp,orari motogp,0.0,0.0,0.0,0.0,0.12319801212501763
68,passaporto,passaporto,passaporto,0.0,0.0,0.0,0.0,0.1229736284829599
69,muhammad abbas,muhammad abbas,muhammad abbas,0.0,0.0,0.0,0.0,0.12275331778768661
70,brigitte bardot,brigitte bardot,brigitte bardot,0.0,0.0,0.0,0.0,0.1225369473015127
71,nuggets - jazz,nuggets - jazz,nuggets - jazz,0.0,0.0,0.0,0.0,0.12232439045850875
72,pistons - cavaliers,pistons - cavaliers,pistons - cavaliers,0.0,0.0,0.0,0.0,0.12211552649443932
73,oroscopo paolo fox capricorno,oroscopo paolo fox capricorno,oroscopo paolo fox capricorno,0.0,0.0,0.0,0.0,0.12191024010372484
74,polizze catastrofali proroga,polizze catastrofali proroga,polizze catastrofali proroga,0.0,0.0,0.0,0.0,0.12170842112111058
75,sondrio,sondrio,sondrio,0.0,0.0,0.0,0.0,0.12150996422595373
76,anticipazioni il paradiso delle signore,anticipazioni il paradiso delle signore,anticipazioni il paradiso delle signore,0.0,0.0,0.0,0.0,0.12131476866724165
77,picierno,picierno,picierno,0.0,0.0,0.0,0.0,0.1211227380076341
78,anticipazioni upas un posto al sole,anticipazioni upas un posto al sole,anticipazioni upas un posto al sole,0.0,0.0,0.0,0.0,0.12093377988498329
79,arzignano valchiampo - renate,arzignano valchiampo - renate,arzignano valchiampo - renate,0.0,0.0,0.0,0.0,0.12074780578993015
80,valtellina,valtellina,valtellina,0.0,0.0,0.0,0.0,0.12056473085830295
81,ultimi sondaggi politici,ultimi sondaggi politici,ultimi sondaggi politici,0.0,0.0,0.0,0.0,0.12038447367716024
82,rcb vs csk,rcb vs csk,rcb vs csk,0.0,0.0,0.0,0.0,0.1202069561034244
83,michela moioli snowboard,michela moioli snowboard,michela moioli snowboard,0.0,0.0,0.0,0.0,0.12003210309414468
84,michael magnesi,michael magnesi,michael magnesi,0.0,0.0,0.0,0.0,0.11985984254751274
85,the town,the town,the town,0.0,0.0,0.0,0.0,0.11969010515383002
